Texts,Labels
"Программист для выгрузки по API данных из Озон и WB (кабинеты селлера) Программист для выгрузки по API данных из Озон и WB (кабинеты селлера)  Что делать:  Настроить выгрузку массива данных из кабинета озон, потом из кабинета ВБ в google-sheets. Нам нужны исходные данные, собирать в таблицы для анализа будем сами. Так же есть уже существующие выгрузки и коды, которые нужно по необходимости поправить.  Требования:  - Самостоятельность - Опыт работы с API ВБ и Озон",0
"Реализовать часть интерфейса для образовательных курсов на React Что нужно сделать: Реализовать:  -страницу со списком разделов и подразделов -подраздел с видео Бэкенд на Питоне уже реализован, им занимается отдельный человек, с которым вы будете взаимодействовать в процессе работы для получения-передачи данных. Формат работы: - работа по договору об оказании услуг (можно физ лицо) - разработка будет вестись на GitHub - после готовности код нужно будет залить на сервер - будем работать с доской Trello. Если не работали никогда - помогу разобраться, это легко - если бэкендер реализовал какой-то функционал по вашему запросу, то протестировать его необходимо в тот же день. Если сработаемся, то можем продолжить совместную работу над проектом. Подробности - в ТЗ по ссылке на гугл докс:  https://docs.google.com/document/d/1-XqkCNc0K5gwFm...",0
Скрипт на node.js для BAS (Browser Automation Studio) Здравствуйте. Нужен человек который на практике сталкивался с BAS (Browser Automation Studio) и node.js,0
"Настройка плагинов интеграции чат-бота с google sheets & calendar  
            На сервисе coze.com (конструктор чат-ботов) настроить для чат-бота плагины интеграции:  1. google sheets  2. google calendar    Общая логика работы: бот-секретарь, работает только с одним юзером через телеграм. Напоминает о вводе данных в базу и собирает эти данные.    1. бот мониторит в google calendar встречи со словом ""сессия"" в названии  2. если найдена встреча, то в момент окончания встречи отправляет сообщение юзеру:  	- Введите данные по встрече через запятую:  	 клиент*, сумма*, минут*, комментарий  3. проверяет данные:  	- обязательные поля ( * ) заполнены  	- тип данных корректный: клиент = текстовое, сумма = число, минут = число  4. Если  	- если нет, вернуть ""Ошибка формата ввода, введите данные снова.""  	- Если ок, то ""✅ Данные сохранены""  5. Сохранить данные в новую строку таблицы google sheets    Рассмотрю альтернативы, если есть решение проще.  Пожалуйста, указывайте релевантный опыт.",0
"Proteus8 (схема + код на ASM) быстрая ШИМ, с возможностью: независимого выбора длительности в каждом канале; фиксированного периода; измерения и стабилизации уровня по одному из каналов. Процессор: pic18 Программа для выполнения: Proteus8 (схема + код на ASM) Что-то по типу того, что есть на скриншоте",0
"MiniApp для телеграм бота на React.js (только фронт) Ценник обсуждаем. Необходимо сделать WebApp c использованием React.js, только фронтенд часть.  Важно наличие не менее 3 проектов на WebApp в портфолио, тех. собеседование, CV.  Проект длительностью ориентировочно 3-8 недель.",0
Создание прогнозных моделей (регрессии) классического ML На базе датасета нужно написать ряд моделей для расчета 2 таргетов и визуализировать метрики их эффективности.  Список моделей: Линейная регрессия (с регуляризацией и без); Случайный лес; Градиентный бустинг; Гибридная модель (Лес и бустинг)  Датасет будет предоставлен в формате xlsx исполнителю,0
"Задачи для сайта sqltest.online Подготовить набор заданий для сайта sqltest.online. 
 Каждое задание должно включать название, описание задачи, подсказки на русском и английском языках, а также решение в виде SQL-запроса. 
 Уровень сложности заданий может быть различным, от простых до сложных. Все задания должны быть основаны на базе данных Sakila (MySQL), используемой на сайте. 
 Рекомендуется ознакомиться с уже существующими заданиями на сайте перед началом работы.
 Бюджет ограничен суммой в 1000 рублей, поэтому, пожалуйста, укажите, сколько заданий можно подготовить в рамках этого бюджета.",0
Создать сайт на Английском языке и русском языке Сделать сайт на Английском и русском языке,0
"Face Swap на основе натренированной модели LORA Имеется натренированная Лора и фотографии реальной модели. Необходимо используя уже натренированную Лору (*.safetensors файл я предоставлю) менять лицо модели, при этом пытаясь добиться максимальной реалистичности. Все референсы я скину.  Оплата скорее всего будет производиться за каждое изображение. В любом случае, к любым договоренностям сможем прийти в процессе обсуждения",0
Интегрировать в flutter проект storekit external link (ios) Нужно интегрировать в flutter проект storekit external link для опалаты через робокасса  Технология swift  api:  https://developer.apple.com/documentation/storekit...,0
"Страница лендинга на netcat  
            Требуется настроить лендинг, который одновременно является главной страницей и страницей входа в систему. Сайт работает на системе управления сайтами Netcat, необходимо реализовать задачу с применением штатных средств NetCat.    Страница входа –   kabinet.metrologu.ru   Дизайн страницы –   www.figma.com/file/wHM4yg...   Опыт работы на NetCat обязателен.    Без предоплаты",0
"Задача создать pop up банер + верстка Скоро майские праздники. Необходим банер с графиком работы на майские праздники. Банер будет всплывать на сайте магазина, когда покупатель попадает на страницу магазина и информировать покупателей как мы работаем. Так же в банере будут ссылки на маркетплейсы (4 ссылки) куда человек может перейти. Должно быть название маркетплейса и его маленький логотип. Банер должен работать на мобильных и ПК версиях. Независимо от браузера и ОС пользователя. Размер банера для ПК версии 1004 х628  Результатом будет pop up банер полностью готовый к размещению на сайте.  У нас уже есть pop up банер, его можно взять за основу.  Сделать нужно до 13.00 27 мая.",0
Подключить онлайн-кассу Необходимо подскочить онлайн-кассу для ИП (инфобиз),0
"Решение задач по python Необходимо решить 11-12 задач самого базового уровня, могу прислать примеры",0
"Виджет обратной связи в программе teletype Добрый день. необходимо чтобы в конце каждого диалоша в телетайп, после нажатия кнопки - вопрос решен для клиента всплывал виджет оцените работу оператора от 1 до 5 и конопочки выбора.",0
"Сайт-визитка компании, занимающейся производством кастомных проектов кухонь в США На данный момент нужен mvp (minimum viable product) так как ниша в процессе тестирования.  Веб-сайт на английском языке.  Есть несколько сайтов ориенторов.  Целевая аудитория: дизайнеры, контракторы (строители), архитекторы.  Требуется основная страница и 2-3 дополнительные по-мере надоности.  Логотип, домен, хостинг уже есть.  CMS – по вашей рекомендации с расчетом на расширение сайта.  Бюджет по согласованию.",0
"Работа с woocommerce  
            Тех задание   4pole.ru/shop/  Посмотрите пжлт, вам интересно? За какую сумму возьметесь выполнить?    1. После обновления woocommerce на странице интернет-магазина слетели настройки. Надо изменить расположение товаров.  «Восстановление» (кликабельное)  Под ним 2 товара.  Дальше строка по центру «Защита»  Под ней список товаров. (У меня потом дб возможность менять их очередность в показе)    2. В карточке товара уменьшить текст цены и названия (сделать такими же, как на основной странице магазина).    3. Уменьшить расстояние сверху-снизу между банером (ссылкой на магазин) и началом статей.    4. Добавить возможность введения Промокода на странице оплаты.    5. Наложенный платеж встроить с расчетом Сдек. Оформление товара без оплаты.    6. Как ограничить минимальную сумму заказа при оформлении?    7. В подвале иконки соц.сетей (инста и вк)  Доп. хотелки  8. Связать калькулятор сразу с корзиной магазина.    4pole.ru/calculator/   9. Просмотры статей. У меня стоял плагин, показывающий просмотры статей. Но почему-то давно перестал показывать. Хотелось бы восстановить.    10. Можно ли добавить возможность прикреплять фото к отзывам?",0
"Разработка интернет магазина 1. Название проекта: text4you.online  2. Тип проекта: Онлайн-магазин.  3. Направление деятельности: Продажа текстовых обзоров на различные товары и услуги.  4. Целевая аудитория: Владельцы бизнесов, маркетологи, интернет-магазины, а также частные лица, нуждающиеся в качественных текстах для своих ресурсов.  5. Функциональные требования:   – Регистрация и авторизация пользователей.   – Каталог обзоров с возможностью фильтрации и поиска.   – Оформление заказа и оплата товаров.   – Личный кабинет пользователя с возможностью просмотра истории заказов и управления профилем.   – Корзина для сбора выбранных товаров перед оформлением заказа.   – Интеграция с платежными системами для безопасной оплаты.   – Контактная информация и форма обратной связи для пользователей.  6. Дизайнерские требования:   – Модерный и привлекательный дизайн, соответствующий тематике продукта (текстовые обзоры).   – Удобная навигация и интуитивно понятный интерфейс для пользователей.   – Адаптивный дизайн, подходящий для использования на различных устройствах (компьютеры, планшеты, мобильные телефоны).   – Использование цветовой схемы, подчеркивающей профессионализм и надежность.   – Внедрение элементов, поддерживающих брендинг и идентичность компании.  7. Технические требования:   – Платформа: веб-сайт должен быть разработан на базе популярной платформы для интернет-магазинов (WP+WooCommerce).   – Верстка и программирование должны соответствовать современным стандартам и быть оптимизированы для быстрой загрузки страниц и удобной работы пользователей.   – Совместимость с основными веб-браузерами (Google Chrome, Mozilla Firefox, Safari, Microsoft Edge).   – Обеспечение безопасности данных пользователей и платежных операций.    Примеры конкурентов будут предоставлены    Бюджет 30-40к рублей",0
"Перенос сайта с домена на домен Вводные - Готовится к релизу новый сайт на Вордпресс. Он будет  релизится на домен (https://automaticgates.ru/) Задачи звучат так:  1. Текущий сайт на домене (https://automaticgates.ru/) перенести на домен https://vorotagate.ru/ . Сайт который на https://vorotagate.ru/ нужно удалить.   2. 3 лендинга  (https://lp.automaticgates.ru/msk4/ https://lp.automaticgates.ru/msk5/ https://lp.automaticgates.ru/msk6/)  оставить на текущих доменах, но они сделаны на битрикс. То есть в результате, нужно чтобы с релизом нового сайта на вордпресс эти ленды перенести с битрикса на вордпресс к новому сайту.",0
1С-Битрикс программист Нужен программист PHP на 1С-Битрикс для настройки не типовой синхронизации между Битриксом и 1С. Ищу спеца только с опытом решения таких задач! оплата почасовая.,0
"Помощь в интеграции Яндекс Маркета и программы Мой склад. Не получается сделать интеграцию. Хочу что бы весь контент, описание яндекс маркет брал на OZON, а остатки брал с программы мой склад. Товары и комплекты.",0
"Консультация по grpc (Python+js) Необходимо запустить скрипт и объяснить ошибку. Сервер python, клиент-js. Хотелось бы получить более-менее общее понимание как с точки зрения имплементации работает grpc.",0
"Доработка сайта Доработать сайт (описание, картинки и тд) Общий дизайн выполнен",0
"Установить систему Linux Установить систему, развернуть скрипты, содействие процессу разработки.  Опыт работы с centos, mysql чистый linux, docker,kvm,iptables,bash linux системный администратор Ставка от 1500 до 2500 в час.",0
"Guggi Введение – информация для заказчика    Guggi – это многофункциональный и гибкий маркетплейс, предоставляющий возможность пользователям находить и покупать товары в различных категориях.    Требования к решению задачи:    1. Добавить новую функциональность, позволяющую пользователям создавать и управлять своим аккаунтом, а также осуществлять покупки товаров.  2. Реализовать возможность поиска товаров по категориям и ключевым словам, а также возможность сравнивать товары между собой.  3. Обеспечить поддержку различных платежных систем и возможность оплаты товаров с помощью криптовалюты.  4. Разработать систему отзывов и рейтингов для облегчения выбора товаров пользователями.  5. Реализовать функцию ""избранное"" для быстрого доступа к выбранным товарам.  6. Обеспечить безопасное хранение персональных данных пользователей и защиту от мошенничества.  7. Предоставить возможность регистрации и авторизации через социальные сети.  8. Разработать мобильную версию сайта для удобства пользователей при совершении покупок с мобильных устройств.  9. Обеспечить быструю загрузку страниц и высокий уровень производительности сайта.  10. Учесть возможность интеграции с другими сервисами для расширения функционала и улучшения пользовательского опыта.    Ожидаемый результат:    Добавление новой функциональности в Guggi позволит улучшить пользовательский опыт, увеличить продажи и привл",0
"Настроить веб мастер для сайта Есть интернет магазин, нужно настроить метрику, веб мастер, отображение в поиске и все такое, также подключить к гуглу, необходимо ит специалисту предоставить информацию что сделать (например для выгрузки товарного фида, какие мета теги добавить и тд)",0
"Разработка мобильного приложения на Flutter Ищем разработчика для  разработки/ доработки мобильного приложения на Flutter под Android. Тема туризм Есть MVP приложение (локальное) разработанное по дизайну в figma + ТЗ 1-й этап - перевести приложение на работу с серверным АПИ (АПИ  разработано). Возможно использовать текущий код, возможно сделать с ""нуля"". 2. Есть ТЗ на развитие, разбитое по этапам.  Ищем прямого разработчика для сотрудничества минимум 3-5 месяцев.",0
"Верстка и натяжка страницы на Wordpress Нужно сверстать страницу с потенциалом того что будут добавляться новые страницы. То есть как я понимаю нужно верстать как тему? Сайт будет на wordpress. В откликах указывайте цену, сроки выполнения и дату старта    www.figma.com/file/0tQcm0...",0
"Чат-бота на базе ИИ для общения с заказчиками и приема заказа  
            Нужен чат-бот на базе ИИ который сможет рассказать заказчику о продукте подробнее и оформить заказ (предзаказ) на услугу. Сделать бота на базе открытого ИИ.",0
"Консультация Юнити Проконсультировать по юнити ассету, я задам вопросы, вы мне скажете как нужно и где что искать. Как куда чего добавлять.  По урокам совсем не понимаю, мне тыркнуть надо куда жмакать. На примере вот такого ассета. https://assetstore.unity.com/packages/templates/packs/pet-doctor-template-editor-233146 500р за час.  Что бы и вы и я смог показать экран наверное удобнее будет по дискорду.",0
"Нужен Регистратор Аккаунтов Twitch.tv Нужно создать скрипт многопоточного создания каналов на твич(с поддержкой прокси) Функционал скрипта: 1.Регистрация аккаунта(возможность создать рандомный ник или подгрузить ники из файла) 2.Установка аватара из папки 3.Установка нужного регистра букв ника аккаунта 4.Установка названия трансляции,категории,языка,установка тегов. Подключение к аккаунту бота Wizebot.tv 1.Выдача прав модератора боту Wizebot 2.Установка спам фильтра 3.Создание кастомной команды в Wizebot",0
"Сделать telegram webapp airdrop/mining  
            Сделать webapp для аирдропа/майнингa",0
"Консультация по 1с мобильная касса, помощь в синхронизации Мне нужна консультация по приложению 1С мобильная касса.  Нам вот что нужно:  У нас есть в офисе онлайн-касса MSPOS-K. Мы принимаем оплату от клиентов на ней в офисе. Работем сейчас с моим складом, но хотим перейти на 1С (в ней почти все готово уже)  Что нам нужно:  1. Чтобы на нашу кассу в офисе подтягивались заказы из 1С  2. Чтобы на самой кассе менеджер мог поправить заказ. То есть, сначала он его ищет через поиск в приложении, потом добавляет/убирает товары или услуги, принимает оплату (нал или по QR), выбивает чек и чтобы после этого уже измененный заказ (с добавленными товарами/услугами возвращался в 1С и списывался со склада (если это товар)  3. Чтобы у монтажников (3 чел) в телефонах стояли приложения (в модуль кассе такое точно есть) через которые они могли также использовать кассу, как менеджеры в офисе – искать заказ из 1с, добавлять что либо в него/убирать, принимать оплату и выбивать чек (электронный на почту). После этого, заказ как и в пункте №2 возвращается в 1с (уже измененный)    подойдет нам вообще для таких задач касса MSPOS-K и проложение 1с мобильная касса?  1С у нас УНФ в scloud    Если не подойдет – консультация не нужна в принципе, если подойдет нужно помочь все настроить (в нашей 1С, на кассе и в телефонах приложения)  Консультация нужна сегодня или в понедельник",0
"Разработка сайта с помощью Airtable + Softr Добрый день,  Ищу специалиста, знающего сервисы Airtable и Softr для создания сайта для проведения соревнований по ракеточным видам спорта.  Основная часть сайта будет ведение системы рейтингования, а также автоматизация проведения гроппового этапа турнира, а также этапа на вылет.  Подробнее смогу поделиться в личных сообщениях.",0
Создание системы под демо экзамен  Разработать информационную систему для автоматизации процесса бронирования.  Задача разработать следующий функционал:  Страница регистрации  Страница авторизации  Страница заявок  Страница формирования заявки Панель администратора.  Подробнее смотрите пожалуйста в прикреплпнных файлах.  По срокам: сегодня в течении дня или к завтрашенму утру)),0
"Сделать трекер времени в Notion В существующем шаблоне нужно добавить опцию учет времени затраченный на проект. Начал проект, запустился отсчет, поставил на паузу - таймер тоже на паузе, продолжил задачу - трекер запустился. После завершения задачи трекер показывает затраченное время. Без возможности редактировать время проекта.",0
"Сайт  Сайт-блог с возможностью любому человеку предлагать посты для этого блога. Что требуется чтоб на нём было: Отдельные аккаунты пользователей и регистрация само собой Раздел переписок(чтобы была возможность общаться) Раздел ленты(где собственно будут выкладываться все записи(посты так скажем)). Профиль(чтоб человек мог глянуть, как его профиль вообще выглядит) Раздел настроек(подредактировать профиль и ещё что-нибудь) Вот я накидал примерную концепцию(фото ниже) И обязательно должна БЫТЬ БАЗА данных",0
"Поиск Wordpress Добрый день. Поиск выдает 5 результатов из поиска товаров, хотя опубликовано больше. В Functions вроде все в порядке. Надо, чтобы поиск выдавал все опубликованные товары по поисковому запросу.",0
"Подключить внесение накладных из Контур.Диадок в Ytimes Нужно подключить автоматическое внесение накладных (поставка товаров в кофейню) из системы Контур Диадок в систему Ytimes. Либо по API, либо Селениум (так подсказал программист, который хотел выполнить заказ), либо другой метод, я не сильна в инструментах - просьба предложить свой вариант. Накладные подгружаются в Контур Диадок в формате excel, оттуда надо взять перечень, количество и стоимость товаров, наименование поставщика, дату, номер накладной и оприходовать ее в кассовой системе YTimes.",0
"Обновить C# приложения с net4 до net8. Платформа для трейдинга Добрый день.  Ищем специалиста, котороый имеет опыт разработки приложений для трейдинга и сможет провести грамотный апдейт приложений с net4 на net8 и тестирование.  Задачи : - Постепенно портировать приложения с net4 на net8 (порядка 10 штук) - Добавлять коннекторы, для копирования сделок между разными трейдинг платформами (в том числе криптобиржами) - Развивать функционал платформы для копирования сделок - CI/CD - настроить удобное развертывание приложений на наших серверах и серверах клиентов - Глубокий рефакторинг кода некоторых приложений - Техническое общение с бизнес партнерами (интеграция ПО)  Требования: - Опыт работы от 5 лет в качестве .NET-разработчика. - Понимание предметной области трейдинга - Глубокие знания и опыт работы с C#, .NET Core. - Опыт разработки высоконагруженных и масштабируемых веб-приложений. - Знание Docker, Kubernetes. - Хорошее знание англ. языка  Будет преимуществом: - Опыт разработки на языке MQL для торговых платформ MetaTrader4, MetaTrader5 - Опыт разработки на Python  Интересует сотрудничество full time (40 часов в неделю). В отклике просьба указывать сразу часовую ставку.",0
"Скопировать интернет каталог Здравствуйте, необходимо скопировать сайт, сайт без движка, html/css, страниц достаточно много, загрузить необходимо будет его на любой хостинг где я наглядно все смогу прокликать, ничего редактировать с вашей стороны не требуется.  Сайт скину по запросу.",0
"Сделать программу для расчета стоимость установки Необходимо сделать программу для расчета стоимости установки. Должно быть несколько полей с видами работ, каждая из которых имеет определенную стоимость. После заполнения количества метров или штук, программа должна все это считать и выводить итоговую смету.",0
